coarse_cell_id	landuse	restored_ha
27973	ForestDryPoor	1.32000000
27983	ForestDryPoor	2.01000000
27986	ForestDryPoor	2.02000000
27990	ForestDryPoor	2.86000000
27992	ForestDryPoor	3.02000000
28003	ForestDryPoor	1.77000000
28004	ForestDryPoor	3.09000000
28266	ForestDryPoor	1.02000000
28288	ForestDryPoor	1.40000000
28289	ForestDryPoor	2.57000000
28290	ForestDryPoor	1.81000000
28296	ForestDryPoor	3.01000000
28592	ForestDryPoor	1.34000000
28593	ForestDryPoor	2.92000000
28855	ForestDryPoor	3.66000000
28894	ForestDryPoor	3.06000000
29143	ForestDryPoor	2.83000000
29153	ForestDryPoor	1.92000000
29390	ForestDryPoor	3.11000000
29393	ForestDryPoor	1.74000000
29394	ForestDryPoor	3.84000000
29447	ForestDryPoor	2.93000000
29473	ForestDryPoor	3.55000000
29474	ForestDryPoor	3.51000000
29478	ForestDryPoor	1.87000000
29479	ForestDryPoor	1.92000000
29685	ForestDryPoor	2.91000000
29688	ForestDryPoor	3.59000000
29689	ForestDryPoor	3.32000000
29690	ForestDryPoor	3.21000000
29691	ForestDryPoor	1.38000000
29733	ForestDryPoor	2.62000000
29981	ForestDryPoor	2.49000000
29982	ForestDryPoor	2.85000000
30035	ForestDryPoor	1.73000000
30036	ForestDryPoor	1.89000000
30065	ForestDryPoor	3.87000000
30271	ForestDryPoor	1.16000000
30272	ForestDryPoor	3.22000000
30273	ForestDryPoor	1.04000000
30274	ForestDryPoor	1.19000000
30276	ForestDryPoor	1.69000000
30279	ForestDryPoor	1.41000000
30566	ForestDryPoor	3.19000000
30568	ForestDryPoor	3.11000000
30569	ForestDryPoor	2.90000000
30622	ForestDryPoor	1.59000000
30657	ForestDryPoor	2.73000000
30859	ForestDryPoor	1.03000000
30860	ForestDryPoor	1.65000000
30861	ForestDryPoor	3.87000000
30862	ForestDryPoor	3.02000000
30863	ForestDryPoor	2.37000000
30904	ForestDryPoor	1.87000000
31156	ForestDryPoor	1.40000000
31158	ForestDryPoor	4.00000000
