network_name,warm_component,CertifiedAreaHa,selected_cells,existing_patches,FlowAreaHa,RequiredAreaHa,HasExistingRoot,HasNewRestoration,PassesArea,FeasibleWarmCertificate
Subarea2,106,1.4273031005859376,112,104,483.4600000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,109,2.704229663085939,1,1,2.830000000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,110,4.520000000000004,3,2,4.520000000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,112,7.069999951171876,1,2,7.070000000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,113,1.010000000000001,1,0,1.010000000000001,1000,FALSE,TRUE,FALSE,FALSE
Subarea2,114,21.61999995117189,9,4,21.62000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,115,73.41737907714848,23,47,81.63000000000005,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,116,201.144590185547,60,51,217.03000000000011,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,117,17.64999365234376,6,6,21.11000000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,118,1.8600000000000017,1,2,1.8600000000000017,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,119,51.251601806640664,23,7,51.51000000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,120,69.7790297119141,23,13,120.27000000000005,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,121,8.300000000000008,4,0,8.300000000000008,1000,FALSE,TRUE,FALSE,FALSE
Subarea2,122,25.21000000000002,10,6,25.21000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,123,384.91309545898457,103,87,446.4900000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,124,133.6536746826173,47,18,135.93000000000012,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,125,2.179200048828127,1,1,4.120000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,126,15.44779931640626,6,6,15.490000000000009,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,127,1.5100000000000011,1,0,1.5100000000000011,1000,FALSE,TRUE,FALSE,FALSE
Subarea2,128,372.6567945800783,97,49,414.2500000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,129,7.569800634765627,1,2,7.750000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,130,5.400000000000005,4,0,5.400000000000005,1000,FALSE,TRUE,FALSE,FALSE
Subarea2,131,5.090000000000005,2,0,5.090000000000005,1000,FALSE,TRUE,FALSE,FALSE
Subarea2,132,70.32361765136723,23,7,94.99000000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,133,94.7699997070313,29,27,94.77000000000005,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,134,797.1585416503909,180,168,934.7400000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,135,8.441401367187506,3,1,8.650000000000006,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,136,2.980000048828127,1,1,2.9800000000000018,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,137,79.11999145507818,23,19,81.98000000000005,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,138,4.580000000000004,2,1,4.580000000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,140,2.070000097656251,1,2,2.070000000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,141,10.109999853515626,1,1,10.110000000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,142,11.260000097656258,5,2,11.260000000000007,1000,TRUE,TRUE,FALSE,FALSE
Subarea2,143,3.29568132324219,1,2,3.3800000000000026,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,28,417.4499997070314,66,36,417.45000000000016,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,34,68.90424284667971,12,13,72.74000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,35,6.789001464843755,5,2,7.420000000000005,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,36,11.470000048828128,1,2,11.470000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,37,21.37999995117188,2,2,21.380000000000006,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,38,2.7154021484375015,1,1,9.940000000000003,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,39,43.65999951171877,12,14,43.660000000000025,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,40,354.4279962890626,58,41,359.3600000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,41,7.089999755859377,1,1,7.090000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,42,11.783464672851569,3,2,13.430000000000005,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,43,354.82020234375017,77,41,363.01000000000016,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,44,4.560595556640628,2,5,10.960000000000003,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,45,6.126399755859379,2,2,7.530000000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,46,4.2131950683593775,2,2,6.750000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,47,2.341798583984377,1,2,2.820000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,48,27.69999990234377,9,1,27.70000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,49,252.9070104492189,63,33,265.8600000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,50,147.4618002929688,27,12,157.98000000000005,1000,TRUE,TRUE,FALSE,FALSE
Subarea3,51,2.2700000000000014,1,1,2.2700000000000014,1000,TRUE,TRUE,FALSE,FALSE
