i,j
15604,15605
15604,15899
15605,15606
15605,15900
15606,15607
15606,15901
15607,15608
15607,15902
15608,15609
15608,15903
15609,15610
15609,15904
15610,15611
15610,15905
15611,15612
15611,15906
15612,15907
15886,16181
15888,15889
15888,16183
15889,15890
15889,16184
15890,16185
15896,15897
15896,16191
15897,15898
15897,16192
15898,15899
15898,16193
15899,15900
15899,16194
15900,15901
15900,16195
15901,15902
15901,16196
15902,15903
15902,16197
15903,15904
15903,16198
15904,15905
15904,16199
15905,15906
15905,16200
15906,15907
15906,16201
15907,16202
16177,16472
16180,16181
16180,16475
16181,16476
16183,16184
16183,16478
16184,16185
16184,16479
16185,16480
16191,16192
16191,16486
16192,16193
16192,16487
16193,16194
16193,16488
16194,16195
16194,16489
16195,16196
16195,16490
16196,16197
16196,16491
16197,16198
16197,16492
16198,16199
16198,16493
16199,16200
16199,16494
16200,16201
16200,16495
16201,16202
16201,16496
16472,16767
16475,16476
16475,16770
16476,16477
16476,16771
16477,16478
16477,16772
16478,16479
16478,16773
16479,16480
16479,16774
16486,16487
16486,16781
16487,16488
16487,16782
16488,16489
16488,16783
16489,16490
16489,16784
16490,16491
16490,16785
16491,16492
16491,16786
16492,16493
16492,16787
16493,16494
16493,16788
16494,16495
16494,16789
16495,16496
16495,16790
16496,16791
16767,16768
16768,16769
16768,17063
16769,16770
16769,17064
16770,16771
16770,17065
16771,16772
16771,17066
16772,16773
16772,17067
16773,16774
16773,17068
16774,17069
16781,16782
16781,17076
16782,16783
16782,17077
16783,16784
16783,17078
16784,16785
16784,17079
16785,16786
16785,17080
16786,16787
16786,17081
16787,16788
16787,17082
16788,16789
16788,17083
16789,16790
16789,17084
16790,16791
16790,17085
17063,17064
17063,17358
17064,17065
17064,17359
17065,17066
17065,17360
17066,17067
17066,17361
17067,17068
17067,17362
17068,17069
17068,17363
17069,17364
17076,17077
17076,17371
17077,17078
17077,17372
17078,17079
17078,17373
17079,17080
17079,17374
17080,17081
17080,17375
17081,17082
17081,17376
17082,17083
17082,17377
17083,17084
17083,17378
17084,17085
17084,17379
17085,17380
17358,17359
17359,17360
17359,17654
17360,17361
17360,17655
17361,17362
17361,17656
17362,17363
17362,17657
17363,17364
17363,17658
17364,17365
17364,17659
17365,17660
17371,17372
17371,17666
17372,17373
17372,17667
17373,17374
17373,17668
17374,17375
17374,17669
17375,17376
17375,17670
17376,17377
17376,17671
17377,17378
17377,17672
17378,17379
17378,17673
17379,17380
17379,17674
17654,17655
17655,17656
17655,17950
17656,17657
17656,17951
17657,17658
17657,17952
17658,17659
17658,17953
17659,17660
17659,17954
17660,17661
17660,17955
17661,17956
17666,17667
17666,17961
17667,17668
17667,17962
17668,17669
17668,17963
17669,17670
17669,17964
17670,17671
17670,17965
17671,17672
17671,17966
17672,17673
17672,17967
17673,17674
17673,17968
17950,17951
17950,18245
17951,17952
17951,18246
17952,17953
17952,18247
17953,17954
17953,18248
17954,17955
