network_name,child,parent,flow_ha,child_type,parent_type,child_id,parent_id
Global,p_87495,c_88604,0.78,p,c,87495,88604
Global,p_88494,c_90670,0.24,p,c,88494,90670
Global,c_87130,c_87425,31.850000000000016,c,c,87130,87425
Global,c_87424,c_87425,610.2400000000002,c,c,87424,87425
Global,c_87719,c_87720,32.130000000000024,c,c,87719,87720
Global,c_88014,c_88015,24.630000000000024,c,c,88014,88015
Global,c_88309,c_88310,21.96000000000002,c,c,88309,88310
Global,c_88604,c_88605,46.37000000000005,c,c,88604,88605
Global,c_88900,c_88605,3.490000000000003,c,c,88900,88605
Global,c_89195,c_89196,9.390000000000006,c,c,89195,89196
Global,c_89490,c_89491,20.19000000000002,c,c,89490,89491
Global,c_89786,c_89491,3.770000000000003,c,c,89786,89491
Global,c_90080,c_90081,24.17000000000002,c,c,90080,90081
Global,c_90376,c_90081,3.5900000000000034,c,c,90376,90081
Global,c_90670,c_90671,10.19000000000001,c,c,90670,90671
Global,p_86832,c_87425,2.94,p,c,86832,87425
Global,p_87242,c_88310,0.01,p,c,87242,88310
Global,c_87425,p_88305,648.0800000000003,c,p,87425,88305
Global,c_87720,p_88305,34.020000000000024,c,p,87720,88305
Global,c_88015,p_88305,26.160000000000025,c,p,88015,88305
Global,c_88310,p_88305,23.56000000000002,c,p,88310,88305
Global,c_88605,p_88305,53.35000000000005,c,p,88605,88305
Global,c_88606,p_88305,2.8300000000000027,c,p,88606,88305
Global,c_88901,p_88305,2.910000000000003,c,p,88901,88305
Global,c_89196,p_88305,11.230000000000008,c,p,89196,88305
Global,c_89491,p_88305,27.210000000000026,c,p,89491,88305
Global,c_89787,p_88305,1.5200000000000014,c,p,89787,88305
Global,c_90081,p_88305,31.400000000000027,c,p,90081,88305
Global,c_90082,p_88305,1.2800000000000011,c,p,90082,88305
Global,c_90377,c_90378,3.3700000000000028,c,c,90377,90378
Global,c_90671,c_90672,13.000000000000012,c,c,90671,90672
Global,c_90378,c_90379,5.940000000000005,c,c,90378,90379
Global,c_90672,c_90673,16.180000000000014,c,c,90672,90673
Global,p_88305,c_90379,884.4200000000004,p,c,88305,90379
Global,c_90379,c_90380,892.6300000000005,c,c,90379,90380
Global,c_90673,c_90674,19.930000000000017,c,c,90673,90674
Global,c_90380,c_90675,895.1200000000005,c,c,90380,90675
Global,c_90674,c_90675,23.56000000000002,c,c,90674,90675
Global,c_90675,c_90676,922.2800000000005,c,c,90675,90676
Global,c_90382,c_90383,2.320000000000002,c,c,90382,90383
Global,c_90676,c_90677,925.0600000000005,c,c,90676,90677
Global,c_90383,c_90384,4.950000000000005,c,c,90383,90384
Global,c_90677,c_90678,927.4600000000005,c,c,90677,90678
Global,p_88263,c_90384,3.73,p,c,88263,90384
Global,c_90384,c_90385,11.660000000000007,c,c,90384,90385
Global,c_90678,c_90679,930.2400000000005,c,c,90678,90679
Global,c_90385,c_90386,15.08000000000001,c,c,90385,90386
Global,c_90679,c_90680,933.9800000000005,c,c,90679,90680
Global,c_90386,c_90681,16.750000000000014,c,c,90386,90681
Global,c_90680,c_90681,937.1700000000005,c,c,90680,90681
Global,c_90974,c_90975,1.5600000000000014,c,c,90974,90975
Global,c_90681,c_90682,957.8700000000006,c,c,90681,90682
Global,c_90975,c_90976,5.020000000000005,c,c,90975,90976
Global,c_90682,c_90977,959.6200000000006,c,c,90682,90977
Global,c_90976,c_90977,8.720000000000008,c,c,90976,90977
Global,c_91270,c_91271,1.9300000000000015,c,c,91270,91271
Global,c_90977,c_91272,971.7400000000006,c,c,90977,91272
Global,c_91271,c_91272,5.630000000000004,c,c,91271,91272
Global,c_91272,c_91567,981.3700000000006,c,c,91272,91567
Global,c_91566,c_91567,3.410000000000003,c,c,91566,91567
Global,c_93053,c_93348,1.8700000000000017,c,c,93053,93348
Global,p_90129,c_93348,0.48,p,c,90129,93348
Global,c_91567,c_91862,988.7100000000005,c,c,91567,91862
Global,c_91861,c_91862,3.340000000000003,c,c,91861,91862
Global,c_93348,p_90905,3.980000000000003,c,p,93348,90905
Global,c_91862,c_92157,994.1600000000005,c,c,91862,92157
Global,c_92156,c_92157,3.240000000000003,c,c,92156,92157
Global,c_92451,c_92452,2.040000000000002,c,c,92451,92452
Global,p_90905,c_94232,34.03,p,c,90905,94232
Global,c_92157,p_89832,998.6800000000005,c,p,92157,89832
Global,c_92452,p_89832,3.310000000000003,c,p,92452,89832
Global,c_92747,c_93042,2.480000000000002,c,c,92747,93042
