network_name	coarse_cell_id	counted_area_ha	total_restorable_ha
Global	95087	3.43000000	3.43000000
Global	95088	1.58000000	1.58000000
Global	95090	3.58000000	3.58000000
Global	95091	3.71000000	3.71000000
Global	95092	3.49000000	3.49000000
Global	95093	3.43000000	3.43000000
Global	95094	3.47000000	3.47000000
Global	95096	2.65000000	2.65000000
Global	95099	1.19000000	1.19000000
Global	95111	1.58000000	1.58000000
Global	95380	1.61000000	1.61000000
Global	95382	3.65000000	3.65000000
Global	95383	2.71000000	2.71000000
Global	95385	1.37000000	1.37000000
Global	95387	1.82000000	1.82000000
Global	95388	2.93000000	2.93000000
Global	95389	2.36000000	2.36000000
Global	95390	1.97000000	1.97000000
Global	95391	2.03000000	2.03000000
Global	95406	1.10000000	1.10000000
Global	95677	1.06000000	1.06000000
Global	95678	1.54000000	1.54000000
Global	95682	1.75000000	1.75000000
Global	95683	3.49000000	3.49000000
Global	95684	2.82000000	2.82000000
Global	95685	1.45000000	1.45000000
Global	95686	1.58000000	1.58000000
Global	95687	2.08000000	2.08000000
Global	95701	2.50000000	2.50000000
Global	95965	2.04000000	2.04000000
Global	95966	3.63000000	3.63000000
Global	95967	3.80000000	3.80000000
Global	95968	1.91000000	1.91000000
Global	95970	2.88000000	2.88000000
Global	95971	1.75000000	1.75000000
Global	95972	2.99000000	2.99000000
Global	95973	3.29000000	3.29000000
Global	95978	1.10000000	1.10000000
Global	95981	2.38000000	2.38000000
Global	95982	3.77000000	3.77000000
Global	95983	1.66000000	1.66000000
Global	95988	2.10000000	2.10000000
Global	95989	1.66000000	1.66000000
Global	95993	1.69000000	1.69000000
Global	95995	1.70000000	1.70000000
Global	95996	2.93000000	2.93000000
Global	96258	1.71000000	1.71000000
Global	96259	2.82000000	2.82000000
Global	96260	1.19000000	1.19000000
Global	96261	4.00000000	4.00000000
Global	96262	4.00000000	4.00000000
Global	96263	3.25000000	3.25000000
Global	96264	1.09000000	1.09000000
Global	96265	2.36000000	2.36000000
Global	96266	3.82000000	3.82000000
Global	96267	3.80000000	3.80000000
Global	96268	2.48000000	2.48000000
Global	96269	2.81000000	2.81000000
Global	96270	1.75000000	1.75000000
Global	96273	2.79000000	2.79000000
