network_name,coarse_cell_id
Subarea1,124213
Subarea1,124509
Subarea1,124551
Subarea1,124804
Subarea1,124805
Subarea1,124844
Subarea1,125098
Subarea1,125099
Subarea1,125100
Subarea1,125101
Subarea1,125102
Subarea1,125139
Subarea1,125140
Subarea1,125396
Subarea1,125397
Subarea1,125428
Subarea1,125433
Subarea1,125434
Subarea1,125691
Subarea1,125692
Subarea1,125696
Subarea1,125722
Subarea1,125723
Subarea1,125726
Subarea1,125729
Subarea1,125985
Subarea1,125986
Subarea1,125987
Subarea1,125988
Subarea1,125989
Subarea1,125991
Subarea1,126015
Subarea1,126017
Subarea1,126018
Subarea1,126282
Subarea1,126283
Subarea1,126284
Subarea1,126285
Subarea1,126286
Subarea1,126310
Subarea1,126313
Subarea1,126314
Subarea1,126319
Subarea1,126576
Subarea1,126577
Subarea1,126578
Subarea1,126579
Subarea1,126580
Subarea1,126581
Subarea1,126605
Subarea1,126609
Subarea1,126872
Subarea1,126874
Subarea1,126875
Subarea1,126876
Subarea1,126877
Subarea1,126899
Subarea1,127171
Subarea1,127172
Subarea1,127467
Subarea1,127488
Subarea1,128092
Subarea1,128645
Subarea1,128646
Subarea1,128649
Subarea1,128940
Subarea1,128941
Subarea1,128942
Subarea1,128944
Subarea1,128966
Subarea1,128974
Subarea1,129238
Subarea1,129245
Subarea1,129532
Subarea1,129533
Subarea1,129544
Subarea1,129547
Subarea1,129548
Subarea1,129558
Subarea1,129826
Subarea1,129827
Subarea1,129828
Subarea1,129840
Subarea1,129841
Subarea1,129843
Subarea1,129844
Subarea1,129845
Subarea1,130122
Subarea1,130123
Subarea1,130124
Subarea1,130417
Subarea1,130418
Subarea1,130419
Subarea1,130433
Subarea1,130712
Subarea1,130713
Subarea1,130714
Subarea1,130716
Subarea1,130733
Subarea1,130734
Subarea1,131009
Subarea1,131010
Subarea1,131011
Subarea1,131012
Subarea1,131013
Subarea1,131014
Subarea1,131015
Subarea1,131016
Subarea1,131028
Subarea1,131033
Subarea1,131034
Subarea1,131310
Subarea1,131311
Subarea1,131312
Subarea1,131317
Subarea1,131320
Subarea1,131323
Subarea1,131328
Subarea1,131607
Subarea1,131608
Subarea1,131609
Subarea1,131610
Subarea1,131611
Subarea1,131615
Subarea1,131904
Subarea1,132198
Subarea2,83542
Subarea2,83543
Subarea2,83841
Subarea2,83842
Subarea2,83843
Subarea2,84136
Subarea2,84138
Subarea2,84430
Subarea2,84431
Subarea2,84432
Subarea2,84433
Subarea2,84443
Subarea2,84444
Subarea2,84445
Subarea2,84446
Subarea2,84448
