coarse_cell_id	landuse	restored_ha	biodiversity	existing_nature_contact_edges
85031	ForestDryPoor	1.59000000	352.00105812	11.00000000
85032	ForestDryPoor	2.30000000	567.08038539	2.00000000
85037	ForestDryPoor	1.42000000	238.44622094	35.00000000
85038	ForestDryPoor	2.97000000	411.98994079	9.00000000
85039	ForestDryPoor	3.69000000	512.46442872	19.00000000
85040	ForestDryPoor	3.74000000	475.30496350	0.00000000
85041	ForestDryPoor	3.57000000	461.58202077	0.00000000
85042	ForestDryPoor	1.15000000	139.37420887	0.00000000
85318	ForestDryPoor	1.15000000	227.06950139	10.00000000
85323	ForestDryPoor	2.39000000	460.03269182	3.00000000
85330	ForestDryPoor	2.11000000	479.40632795	32.00000000
85331	ForestDryPoor	2.56000000	481.79145420	63.00000000
85332	ForestDryPoor	1.72000000	291.27419670	86.00000000
85333	ForestDryPoor	1.54000000	204.81863086	28.00000000
85334	ForestDryPoor	2.43000000	262.86102638	16.00000000
85337	ForestDryPoor	2.80000000	351.58418412	0.00000000
85616	ForestDryPoor	1.18000000	194.32422431	0.00000000
85617	ForestDryPoor	2.80000000	520.27163808	13.00000000
85618	ForestDryPoor	2.04000000	426.76529165	0.00000000
85620	ForestDryPoor	3.55000000	1005.63979973	0.00000000
85621	ForestDryPoor	1.72000000	537.55695587	0.00000000
85629	ForestDryPoor	1.03000000	78.63353844	26.00000000
85632	ForestDryPoor	1.56000000	144.34328639	10.00000000
85633	ForestDryPoor	1.60000000	149.08730291	0.00000000
85654	ForestDryPoor	1.97000000	211.69253023	0.00000000
85913	ForestDryPoor	3.01000000	686.78998805	0.00000000
85916	ForestDryPoor	2.93000000	912.91825676	3.00000000
85917	ForestDryPoor	3.29000000	947.77348152	17.00000000
85918	ForestDryPoor	2.55000000	692.94807950	23.00000000
85927	ForestDryPoor	1.11000000	103.75704939	28.00000000
85928	ForestDryPoor	1.45000000	143.86563570	11.00000000
85929	ForestDryPoor	1.60000000	143.35037914	0.00000000
85930	ForestDryPoor	2.10000000	176.82579925	0.00000000
85931	ForestDryPoor	1.87000000	160.99489152	0.00000000
85949	ForestDryPoor	2.45000000	378.75694205	0.00000000
86207	ForestDryPoor	1.03000000	164.59677588	0.00000000
86208	ForestDryPoor	3.01000000	702.00532971	0.00000000
86212	ForestDryPoor	2.92000000	767.71379381	25.00000000
86213	ForestDryPoor	3.27000000	747.95078564	17.00000000
86214	ForestDryPoor	1.83000000	353.72247701	10.00000000
86221	ForestDryPoor	2.26000000	152.78485265	24.00000000
86222	ForestDryPoor	2.60000000	267.80500830	0.00000000
86225	ForestDryPoor	1.00000000	98.79598125	0.00000000
86244	ForestDryPoor	2.29000000	360.12344704	0.00000000
86503	ForestDryPoor	1.18000000	225.84290724	0.00000000
86504	ForestDryPoor	1.20000000	267.32237020	23.00000000
86505	ForestDryPoor	1.78000000	444.35742455	22.00000000
86506	ForestDryPoor	1.85000000	460.28072593	25.00000000
86508	ForestDryPoor	1.10000000	228.89655400	0.00000000
86509	ForestDryPoor	3.48000000	642.58214315	0.00000000
86510	ForestDryPoor	1.12000000	159.14031654	0.00000000
86511	ForestDryPoor	2.23000000	305.58839804	18.00000000
86516	ForestDryPoor	1.57000000	118.28864742	15.00000000
86517	ForestDryPoor	1.59000000	170.44583178	0.00000000
86524	ForestDryPoor	2.80000000	242.46847166	0.00000000
86539	ForestDryPoor	1.81000000	320.82145086	0.00000000
86819	ForestDryPoor	2.64000000	234.77236076	0.00000000
86821	ForestDryPoor	3.64000000	295.08764035	2.00000000
86822	ForestDryPoor	1.17000000	89.22251698	0.00000000
86823	ForestDryPoor	2.00000000	168.19573474	0.00000000
86835	ForestDryPoor	2.51000000	663.85731561	0.00000000
87104	ForestDryPoor	1.65000000	264.28379835	10.00000000
87113	ForestDryPoor	2.16000000	276.45672237	14.00000000
87114	ForestDryPoor	1.54000000	150.78104154	25.00000000
87116	ForestDryPoor	3.06000000	247.89512156	26.00000000
87117	ForestDryPoor	3.91000000	333.84021580	0.00000000
87118	ForestDryPoor	3.50000000	393.43780986	0.00000000
87119	ForestDryPoor	2.16000000	268.36619851	0.00000000
87130	ForestDryPoor	2.07000000	574.99242323	0.00000000
87408	ForestDryPoor	1.18000000	164.13067944	2.00000000
