coarse_cell_id,landuse,RestorableAreaHa
21789,ForestDryPoor,3.770000000000003
21790,ForestDryPoor,3.750000000000003
21798,ForestDryPoor,1.9800000000000015
21801,ForestDryPoor,4.0000000000000036
21804,ForestDryPoor,3.6800000000000033
21805,ForestDryPoor,3.600000000000003
22083,ForestDryPoor,3.690000000000003
22084,ForestDryPoor,3.860000000000003
22085,ForestDryPoor,3.6800000000000033
22088,ForestDryPoor,1.5900000000000014
22094,ForestDryPoor,3.960000000000003
22099,ForestDryPoor,4.0000000000000036
22100,ForestDryPoor,4.0000000000000036
22380,ForestDryPoor,3.850000000000003
22381,ForestDryPoor,3.6600000000000033
22382,ForestDryPoor,3.950000000000004
22383,ForestDryPoor,1.9800000000000015
22389,ForestDryPoor,2.8100000000000023
22391,ForestDryPoor,3.900000000000003
22392,ForestDryPoor,4.0000000000000036
22395,ForestDryPoor,4.0000000000000036
22397,ForestDryPoor,3.960000000000003
22676,ForestDryPoor,3.8200000000000034
22678,ForestDryPoor,1.5800000000000014
22684,ForestDryPoor,1.6000000000000014
22687,ForestDryPoor,4.0000000000000036
22971,ForestDryPoor,3.900000000000003
22979,ForestDryPoor,2.0500000000000016
22982,ForestDryPoor,3.9300000000000033
22983,ForestDryPoor,3.8400000000000034
23265,ForestDryPoor,3.730000000000003
23266,ForestDryPoor,3.8400000000000034
23267,ForestDryPoor,3.980000000000003
23274,ForestDryPoor,3.0500000000000025
23279,ForestDryPoor,3.910000000000004
23280,ForestDryPoor,3.920000000000003
23281,ForestDryPoor,3.910000000000004
23282,ForestDryPoor,2.690000000000002
23560,ForestDryPoor,3.910000000000004
23561,ForestDryPoor,3.710000000000003
23562,ForestDryPoor,2.6700000000000026
23572,ForestDryPoor,3.870000000000004
23574,ForestDryPoor,3.790000000000003
23575,ForestDryPoor,3.7000000000000033
23576,ForestDryPoor,3.860000000000003
23870,ForestDryPoor,3.9300000000000033
23871,ForestDryPoor,3.770000000000003
23872,ForestDryPoor,1.7800000000000016
23873,ForestDryPoor,3.320000000000003
23874,ForestDryPoor,3.990000000000004
23877,ForestDryPoor,3.6800000000000033
23880,ForestDryPoor,1.160000000000001
24147,ForestDryPoor,4.0000000000000036
24148,ForestDryPoor,3.9700000000000033
24149,ForestDryPoor,3.860000000000003
24165,ForestDryPoor,4.0000000000000036
24167,ForestDryPoor,2.490000000000002
24168,ForestDryPoor,2.490000000000002
24169,ForestDryPoor,2.6700000000000026
24170,ForestDryPoor,3.110000000000003
24173,ForestDryPoor,3.410000000000003
24444,ForestDryPoor,3.980000000000003
24445,ForestDryPoor,3.8200000000000034
24462,ForestDryPoor,3.7200000000000033
24465,ForestDryPoor,4.0000000000000036
24466,ForestDryPoor,3.2500000000000027
24468,ForestDryPoor,3.600000000000003
24740,ForestDryPoor,3.850000000000003
24757,ForestDryPoor,3.7400000000000033
24761,ForestDryPoor,3.580000000000003
25042,ForestDryPoor,1.230000000000001
25052,ForestDryPoor,3.8000000000000034
25056,ForestDryPoor,3.7800000000000034
25057,ForestDryPoor,2.960000000000002
25058,ForestDryPoor,2.7900000000000027
25323,ForestDryPoor,1.120000000000001
25330,ForestDryPoor,2.140000000000002
25341,ForestDryPoor,4.0000000000000036
25344,ForestDryPoor,3.380000000000003
25351,ForestDryPoor,3.790000000000003
25353,ForestDryPoor,2.7800000000000025
25355,ForestDryPoor,2.9400000000000026
25356,ForestDryPoor,3.180000000000003
25359,ForestDryPoor,2.440000000000002
25611,ForestDryPoor,2.960000000000002
25612,ForestDryPoor,3.8200000000000034
25615,ForestDryPoor,3.440000000000003
25616,ForestDryPoor,3.340000000000003
25617,ForestDryPoor,2.7900000000000027
25618,ForestDryPoor,3.190000000000003
25619,ForestDryPoor,3.110000000000003
25620,ForestDryPoor,3.500000000000003
25621,ForestDryPoor,3.540000000000003
25623,ForestDryPoor,2.730000000000002
25625,ForestDryPoor,1.4600000000000013
25642,ForestDryPoor,3.6400000000000032
25643,ForestDryPoor,3.730000000000003
25644,ForestDryPoor,3.870000000000004
25645,ForestDryPoor,3.980000000000003
25646,ForestDryPoor,3.810000000000003
25647,ForestDryPoor,3.980000000000003
25648,ForestDryPoor,2.5500000000000025
25651,ForestDryPoor,3.880000000000003
25652,ForestDryPoor,3.750000000000003
