Taxa,currentCanonicalFull,usageKey,acceptedUsageKey,speciesKey,confidence,matchType,status,canonicalName,scientificName,kingdom,phylum,class,order,family,genus,species,rank,gbif_speciesKey
Sargus cuprarius,Sargus cuprarius,5078421,NA,5078421,99,EXACT,ACCEPTED,Sargus cuprarius,"Sargus cuprarius (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Sargus,Sargus cuprarius,SPECIES,5078421
Sargus flavipes,Sargus flavipes,10993885,NA,10993885,98,EXACT,ACCEPTED,Sargus flavipes,"Sargus flavipes Meigen, 1822",Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Sargus,Sargus flavipes,SPECIES,10993885
Sargus iridatus,Sargus iridatus,5078347,NA,5078347,99,EXACT,ACCEPTED,Sargus iridatus,"Sargus iridatus (Scopoli, 1763)",Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Sargus,Sargus iridatus,SPECIES,5078347
Sarops rea,Sarops rea,1263463,NA,1263463,99,EXACT,ACCEPTED,Sarops rea,"Sarops rea Nixon, 1942",Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Sarops,Sarops rea,SPECIES,1263463
Sarothrus tibialis,Sarothrus tibialis,4497590,NA,4497590,99,EXACT,ACCEPTED,Sarothrus tibialis,"Sarothrus tibialis (Zetterstedt, 1838)",Animalia,Arthropoda,Insecta,Hymenoptera,Figitidae,Sarothrus,Sarothrus tibialis,SPECIES,4497590
Sarpa salpa,Sarpa salpa,2392628,NA,2392628,99,EXACT,ACCEPTED,Sarpa salpa,"Sarpa salpa (Linnaeus, 1758)",Animalia,Chordata,NA,Perciformes,Sparidae,Sarpa,Sarpa salpa,SPECIES,2392628
Sarracenia purpurea,Sarracenia purpurea,5421389,NA,5421389,99,EXACT,ACCEPTED,Sarracenia purpurea,Sarracenia purpurea L.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sarraceniaceae,Sarracenia,Sarracenia purpurea,SPECIES,5421389
Sarsia lovenii,Sarsia lovenii,2266283,NA,2266283,99,EXACT,ACCEPTED,Sarsia lovenii,"Sarsia lovenii (M.Sars, 1846)",Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Sarsia,Sarsia lovenii,SPECIES,2266283
Sarsia tubulosa,Sarsia tubulosa,2266276,NA,2266276,99,EXACT,ACCEPTED,Sarsia tubulosa,"Sarsia tubulosa (M.Sars, 1835)",Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Sarsia,Sarsia tubulosa,SPECIES,2266276
Sasa palmata,Sasa palmata,8362005,NA,8362005,97,EXACT,ACCEPTED,Sasa palmata,Sasa palmata (Burb.) E.G.Camus,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Sasa,Sasa palmata,SPECIES,8362005
Sasaella ramosa,Sasaella ramosa,4127352,NA,4127352,99,EXACT,ACCEPTED,Sasaella ramosa,Sasaella ramosa (Makino) Makino,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Sasaella,Sasaella ramosa,SPECIES,4127352
Satchellius mammalis,Satchellius mammalis,4410498,NA,4410498,99,EXACT,ACCEPTED,Satchellius mammalis,"Satchellius mammalis (Savigny, 1826)",Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Satchellius,Satchellius mammalis,SPECIES,4410498
Sathon falcatus,Sathon falcatus,9838926,NA,9838926,99,EXACT,ACCEPTED,Sathon falcatus,"Sathon falcatus (Nees, 1834)",Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Sathon,Sathon falcatus,SPECIES,9838926
Sathropterus pumilus,Sathropterus pumilus,1302277,NA,1302277,99,EXACT,ACCEPTED,Sathropterus pumilus,"Sathropterus pumilus (Holmgren, 1860)",Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Sathropterus,Sathropterus pumilus,SPECIES,1302277
Satilatlas britteni,Satilatlas britteni,2135245,NA,2135245,99,EXACT,ACCEPTED,Satilatlas britteni,"Satilatlas britteni (Jackson, 1913)",Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Satilatlas,Satilatlas britteni,SPECIES,2135245
Satureja hortensis,Satureja hortensis,2926885,NA,2926885,99,EXACT,ACCEPTED,Satureja hortensis,Satureja hortensis L.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Satureja,Satureja hortensis,SPECIES,2926885
Satureja montana,Satureja montana,2926884,NA,2926884,99,EXACT,ACCEPTED,Satureja montana,Satureja montana L.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Satureja,Satureja montana,SPECIES,2926884
Saturnia pavonia,Saturnia pavonia,1867820,NA,1867820,99,EXACT,ACCEPTED,Saturnia pavonia,"Saturnia pavonia Linnaeus, 1758",Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Saturnia,Saturnia pavonia,SPECIES,1867820
Satyrium w-album,Satyrium w-album,5882965,NA,5882965,99,EXACT,ACCEPTED,Satyrium w-album,"Satyrium w-album (Knoch, 1782)",Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium w-album,SPECIES,5882965
Saulcyella schmidtii,Saulcyella schmidtii,4441316,NA,4441316,99,EXACT,ACCEPTED,Saulcyella schmidtii,"Saulcyella schmidtii (Märkel, 1844)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Saulcyella,Saulcyella schmidtii,SPECIES,4441316
Savignia frontata,Savignia frontata,5168442,NA,5168442,99,EXACT,ACCEPTED,Savignia frontata,"Savignia frontata Blackwall, 1833",Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Savignia,Savignia frontata,SPECIES,5168442
Savoryella lignicola,Savoryella lignicola,3457717,NA,3457717,99,EXACT,ACCEPTED,Savoryella lignicola,Savoryella lignicola E.B.G.Jones & R.A.Eaton,Fungi,Ascomycota,Sordariomycetes,Savoryellales,Savoryellaceae,Savoryella,Savoryella lignicola,SPECIES,3457717
Sawadaea bicornis,Sawadaea bicornis,2577938,NA,2577938,98,EXACT,ACCEPTED,Sawadaea bicornis,Sawadaea bicornis (Wallr.) Homma,Fungi,Ascomycota,Leotiomycetes,Helotiales,Erysiphaceae,Sawadaea,Sawadaea bicornis,SPECIES,2577938
Sawadaea tulasnei,Sawadaea tulasnei,2577948,NA,2577948,99,EXACT,ACCEPTED,Sawadaea tulasnei,Sawadaea tulasnei (Fuckel) Homma,Fungi,Ascomycota,Leotiomycetes,Helotiales,Erysiphaceae,Sawadaea,Sawadaea tulasnei,SPECIES,2577948
Saxicavella jeffreysi,Saxicavella jeffreysi,2288884,NA,2288884,99,EXACT,ACCEPTED,Saxicavella jeffreysi,"Saxicavella jeffreysi Winckworth, 1930",Animalia,Mollusca,Bivalvia,Galeommatida,Basterotiidae,Saxicavella,Saxicavella jeffreysi,SPECIES,2288884
Saxicola maurus,Saxicola maurus,5846290,NA,5846290,99,EXACT,ACCEPTED,Saxicola maurus,"Saxicola maurus (Pallas, 1773)",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola maurus,SPECIES,5846290
Saxicola rubetra,Saxicola rubetra,2492521,NA,2492521,99,EXACT,ACCEPTED,Saxicola rubetra,"Saxicola rubetra (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola rubetra,SPECIES,2492521
Saxicola rubicola,Saxicola rubicola,4408759,NA,4408759,99,EXACT,ACCEPTED,Saxicola rubicola,"Saxicola rubicola (Linnaeus, 1766)",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola rubicola,SPECIES,4408759
Saxicola stejnegeri,Saxicola stejnegeri,6100851,NA,6100851,99,EXACT,ACCEPTED,Saxicola stejnegeri,"Saxicola stejnegeri (Parrot, 1908)",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola stejnegeri,SPECIES,6100851
Saxifraga ×arendsii,Saxifraga × arendsii,7544073,NA,7544073,99,EXACT,ACCEPTED,Saxifraga arendsii,Saxifraga × arendsii Engl.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga arendsii,SPECIES,7544073
Saxifraga cymbalaria,Saxifraga cymbalaria,3753098,NA,3753098,97,EXACT,ACCEPTED,Saxifraga cymbalaria,Saxifraga cymbalaria L.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga cymbalaria,SPECIES,3753098
Saxifraga ×geum,Saxifraga × geum,8223023,NA,8223023,97,EXACT,ACCEPTED,Saxifraga geum,Saxifraga × geum L.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga geum,SPECIES,8223023
Saxifraga granulata,Saxifraga granulata,7887000,NA,7887000,97,EXACT,ACCEPTED,Saxifraga granulata,Saxifraga granulata L.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga granulata,SPECIES,7887000
Saxifraga hirculus,Saxifraga hirculus,3032811,NA,3032811,99,EXACT,ACCEPTED,Saxifraga hirculus,Saxifraga hirculus L.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga hirculus,SPECIES,3032811
Saxifraga hostii,Saxifraga hostii,3755568,NA,3755568,99,EXACT,ACCEPTED,Saxifraga hostii,Saxifraga hostii Tausch,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga hostii,SPECIES,3755568
Saxifraga hypnoides,Saxifraga hypnoides,8028512,NA,8028512,98,EXACT,ACCEPTED,Saxifraga hypnoides,Saxifraga hypnoides L.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga hypnoides,SPECIES,8028512
Saxifraga rosacea,Saxifraga rosacea,3032758,NA,3032758,99,EXACT,ACCEPTED,Saxifraga rosacea,Saxifraga rosacea Moench,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga rosacea,SPECIES,3032758
Saxifraga tridactylites,Saxifraga tridactylites,3032833,NA,3032833,99,EXACT,ACCEPTED,Saxifraga tridactylites,Saxifraga tridactylites L.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga tridactylites,SPECIES,3032833
Saxifraga umbrosa,Saxifraga umbrosa,3032812,NA,3032812,99,EXACT,ACCEPTED,Saxifraga umbrosa,Saxifraga umbrosa L.,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga umbrosa,SPECIES,3032812
Saxifraga ×urbium,Saxifraga × urbium,3754353,NA,3754353,99,EXACT,ACCEPTED,Saxifraga urbium,Saxifraga × urbium D.A.Webb,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga urbium,SPECIES,3754353
Scabiosa canescens,Scabiosa canescens,4102834,NA,4102834,97,EXACT,ACCEPTED,Scabiosa canescens,Scabiosa canescens Waldst. & Kit.,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Scabiosa,Scabiosa canescens,SPECIES,4102834
